,index,Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer,Surplus/Deficit,Year
0,0,1/1/2010,Douglas Costa,19,Right Winger,Brazil,Grêmio Esportivo Brasiliense, Série A ,FC Shakhtar Donetsk,,4000000,8000000,4000000,2010
1,1,1/1/2010,Florent Sinama-Pongolle,25,Second Striker,France,Atlético Madrid, LaLiga ,Sporting CP,,7000000,6500000,-500000,2010
2,2,1/1/2010,Alex Teixeira,19,Left Winger,Brazil,CR Vasco da Gama, Série A ,FC Shakhtar Donetsk,,3500000,6000000,2500000,2010
3,3,1/1/2010,Keisuke Honda,23,Attacking Midfield,Japan,VVV-Venlo, Eredivisie ,PFC CSKA Moscow,,3000000,6000000,3000000,2010
4,4,1/1/2010,Younès Kaboul,23,Centre-Back,France,Portsmouth F.C., Premier League ,Tottenham Hotspur F.C. ,,5700000,5900000,200000,2010
5,5,1/1/2010,Daniele Vantaggiato,25,Centre-Forward,Italy,Parma Calcio 1913, Serie A ,Calcio Padova ,,3000000,5000000,2000000,2010
6,6,1/1/2010,Réver,24,Centre-Back,Brazil,Grêmio Esportivo Brasiliense, Série A ,VfL Wolfsburg,,5500000,5000000,-500000,2010
7,7,1/1/2010,Igor Semshov,31,Central Midfield,Russia,FC Zenit Saint Petersburg, Premier Liga ,FC Dinamo Moscow,,3500000,4700000,1200000,2010
10,10,1/1/2010,Éder Luís,24,Right Winger,Brazil,Clube Atlético Mineiro, Série A ,S.L. Benfica,,2000000,4000000,2000000,2010
12,12,1/1/2010,Christian Giménez,28,Attacking Midfield,Mexico,CF Pachuca, Liga MX Clausura ,Cruz azul,,5000000,3500000,-1500000,2010
13,13,1/1/2010,Mario Bolatti,24,Defensive Midfield,Argentina,F.C. Porto, Liga NOS ,ACF Fiorentina,,2500000,3500000,1000000,2010
14,14,1/1/2010,Jonathan Pereira,22,Centre-Forward,Spain,Villarreal Club de Fútbol, LaLiga ,Real Betis Balompié,,3000000,3400000,400000,2010
15,15,1/1/2010,Míchel,24,Central Midfield,Spain,Sporting Gijón , LaLiga ,Birmingham City F.C. ,,2400000,3300000,900000,2010
16,16,1/1/2010,João Pereira,25,Right-Back,Portugal,S.C. Braga, Liga NOS ,Sporting CP,,3700000,3000000,-700000,2010
17,17,1/1/2010,Rúben Micael,23,Central Midfield,Portugal,C.D. Nacional, Liga NOS ,F.C. Porto,,2100000,3000000,900000,2010
19,19,1/1/2010,Airton,19,Defensive Midfield,Brazil,Clube de Regatas do Flamengo, Série A ,S.L. Benfica,,3000000,2600000,-400000,2010
20,20,1/1/2010,Dario Dainelli,30,Centre-Back,Italy,ACF Fiorentina, Serie A ,Genoa C.F.C. ,,4000000,2500000,-1500000,2010
21,21,1/1/2010,Álex Geijo,27,Centre-Forward,Spain,Racing de Santander, LaLiga ,Udinese Calcio,,2000000,2500000,500000,2010
22,22,1/1/2010,Alessandro Budel,28,Defensive Midfield,Italy,Parma Calcio 1913, Serie A ,Brescia Calcio ,,850000,2500000,1650000,2010
24,24,1/1/2010,Alan Kardec,20,Centre-Forward,Brazil,CR Vasco da Gama, Série A ,S.L. Benfica,,900000,2500000,1600000,2010
34,34,3/1/2010,Alexander Baumjohann,22,Attacking Midfield,Germany,FC Bayern Munich, Bundesliga ,FC Schalke 04,,2000000,1000000,-1000000,2010
35,35,3/1/2010,Yong-dae Kim,30,Goalkeeper,"Korea, South",Seongnam FC, K League 1 ,Seoul United FC,,400000,1000000,600000,2010
65,65,5/1/2010,Peer Kluge,29,Defensive Midfield,Germany,1. FC Nürnberg, Bundesliga ,FC Schalke 04,,2500000,1500000,-1000000,2010
117,118,8/1/2010,Andrea Dossena,28,Left Midfield,Italy,Liverpool F.C. , Premier League ,S.S.C. Napoli ,,6000000,3750000,-2250000,2010
118,119,8/1/2010,Sezer Badur,25,Central Midfield,Turkey,Sivasspor, Süper Lig ,Trabzonspor,,2200000,330000,-1870000,2010
137,138,9/1/2010,Oleksandr Aliyev,24,Attacking Midfield,Ukraine,FC Dynamo Kyiv, Premier Liga ,FC Lokomotiv Moscow,,7000000,8000000,1000000,2010
138,139,9/1/2010,Andriy Voronin,30,Second Striker,Ukraine,Liverpool F.C. , Premier League ,FC Dinamo Moscow,,6000000,2000000,-4000000,2010
139,140,9/1/2010,José Fonte,26,Centre-Back,Portugal,Crystal Palace F.C. , Championship ,Southampton F.C. ,,1500000,1400000,-100000,2010
140,141,9/1/2010,Shinji Ono,30,Attacking Midfield,Japan,VfL Bochum , Bundesliga ,Shimizu S-Pulse,,1400000,250000,-1150000,2010
148,150,11/1/2010,Nikolay Zhilyaev,22,Right Winger,Russia,Amkar Perm , Premier Liga ,Kuban FC Krasnodar,,650000,250000,-400000,2010
149,151,11/1/2010,Junichi Inamoto,30,Defensive Midfield,Japan,Stade Rennais , Ligue 1 ,Kawasaki Frontale,,1700000,152000,-1548000,2010
182,185,13/1/2010,Gary Caldwell,27,Centre-Back,Scotland,Celtic F.C., Premiership ,Wigan Athletic F.C.,,5250000,1100000,-4150000,2010
183,186,13/1/2010,Lucas Neill,31,Centre-Back,Australia,Everton F.C. , Premier League ,Galatasaray S.K.,,4800000,840000,-3960000,2010
184,187,13/1/2010,Stephen McGinn,21,Central Midfield,Scotland,St. Mirren F.C., Premiership ,Watford F.C. ,,500000,340000,-160000,2010
242,245,16/1/2010,Aleksandr Kerzhakov,27,Centre-Forward,Russia,FC Dinamo Moscow, Premier Liga ,FC Zenit Saint Petersburg,,8500000,6500000,-2000000,2010
243,246,16/1/2010,Sezer Öztürk,24,Attacking Midfield,Turkey,Manisaspor , Süper Lig ,Eskisehirspor ,,1200000,850000,-350000,2010
249,252,17/1/2010,Won-jae Park,25,Left-Back,"Korea, South",Omiya Ardija , J1 League ,Jeonbuk Hyundai Motors,,1100000,738000,-362000,2010
251,254,17/1/2010,Ilie Cebanu,23,Goalkeeper,Moldova,Wisła Kraków, Ekstraklasa ,Rubin Kazan,,100000,50000,-50000,2010
254,257,18/1/2010,Gökhan Ünal,27,Centre-Forward,Turkey,Trabzonspor, Süper Lig ,Fenerbahçe S.K.,,4000000,3200000,-800000,2010
256,259,18/1/2010,Alparslan Erdem,21,Left-Back,Turkey,Galatasaray S.K., Süper Lig ,Gençlerbirliği S.K.,,500000,500000,0,2010
257,260,18/1/2010,Janusz Gancarczyk,25,Left Midfield,Poland,SL.A.S.K. LinzWrocław, Ekstraklasa ,Polonia Warsaw,,800000,75000,-725000,2010
266,269,19/1/2010,Luigi Pieroni,29,Centre-Forward,Belgium,Valenciennes FC , Ligue 1 ,KAA Gent ,,850000,500000,-350000,2010
267,270,19/1/2010,Krystian Pearce,20,Centre-Back,Barbados,Birmingham City F.C. , Premier League ,Huddersfield Town A.F.C.field ,,150000,400000,250000,2010
