Club Name TM,Club Name Wikidata,venueLabel,Latitude,Longitude
1. FC Köln,1. FC Köln,RheinEnergie Stadion,50.933611,6.875
1. FC Nürnberg,1. FC Nürnberg,Stadion Nürnberg,49.426389,11.125278
1. FC Union Berlin ,1. FC Union Berlin,Stadion An der Alten Försterei,52.457222,13.568056
1. FSV Mainz 05,1. FSV Mainz 05,Opel Arena,49.984167,8.224167
1.FC Heidenheim ,1. FC Heidenheim,Voith-Arena,48.6685,10.1393
1.FC K'lautern ,1. FC Kaiserslautern,Fritz-Walter-Stadion,49.434444,7.775833
FC Bayern U19 ,FC Bayern Munich,Allianz Arena,48.218775,11.62475278
FC Pune City ,FC Pune City,Shree Shiv Chhatrapati Sports Complex,18.574745,73.760984
FC St. Gallen,FC St. Gallen,kybunpark,47.408333,9.306389
FC Volyn Lutsk,FC Volyn Lutsk,Avanhard Stadium,50.754167,25.3375
New York City FC ,New York City FC,Red Bull Arena,40.73666667,-74.15027778
A.A. Argentinos Juniors,A.A. Argentinos Juniors,Estadio Diego Armando Maradona,-34.606028,-58.472583
A.J. Auxerre,A.J. Auxerre,Stade de l'Abbé-Deschamps,47.786753,3.588664
A.S. Roma ,A.S. Roma,Stadio Olimpico,41.933872,12.454714
Perugia ,A.C. Perugia Calcio,Stadio Renato Curi,43.106111,12.357222
A.S. Saint-Étienne,A.S. Saint-Étienne,Stade Geoffroy-Guichard,45.460833,4.39
AC Ajaccio ,A.C. Ajaccio,Stade François Coty,41.93076111,8.776444444
AC Arles ,AC Arles,Avignon Sports Ground,43.928333,4.845
AC Bellinzona,AC Bellinzona,Stadio Comunale Bellinzona,46.198082,9.022304
AC Horsens,AC Horsens,CASA Arena Horsens,55.87166667,9.85722222
AC Le Havre ,Le Havre AC,Stade Océane,49.49888889,0.169722222
ACF Fiorentina,ACF Fiorentina,Stadio Artemio Franchi,43.780822,11.282258
Reggina ,A.C. Reggiana 1919,Mapei Stadium – Città del Tricolore,44.714722,10.649722
Rentistas ,C.A. Rentistas,Estadio Complejo Rentistas,-34.776394,-56.165854
ACR Messina ,A.C.R. Messina,Stadio San Filippo,38.161389,15.520833
ACS SR Brasov ,FC Forex Brașov,Stadionul Forex,45.666934,25.610821
ADO Den Haag,ADO Den Haag,Cars Jeans Stadion,52.062778,4.383056
AEK Athens ,A.E.K. Athens F.C.,Olympic Stadium,38.03611111,23.7875
AEL Limassol ,AEL Limassol FC,Tsirio Stadium,34.700914,33.022975
AFC Ajax,AFC Ajax,Johan Cruyff Arena,52.31416667,4.941944444
AFC AjaxU21 ,AFC Ajax,Johan Cruyff Arena,52.31416667,4.941944444
AFC Bournemouth,AFC Bournemouth,Dean Court,50.735278,-1.838333
AFC Bournemouth ,AFC Bournemouth,Dean Court,50.735278,-1.838333
AGMG Olmaliq ,Nîmes Olympique,Stade des Costières,43.815972,4.359278
Nîmes Olympique ,Nîmes Olympique,Stade des Costières,43.815972,4.359278
AIK Fotboll,AIK Fotboll,Friends Arena,59.3725,18
AO Xanthi ,Orfeas Xanthi F.C.,Xanthi Ground,41.143889,24.893889
APOEL Nicosia ,Olympiakos Nicosia FC,Makario Stadium,35.146111,33.314444
AS Monaco FC,AS Monaco FC,Stade Louis II,43.727778,7.415556
AS Nancy ,A.S. Nancy-Lorraine,Stade Marcel Picot,48.6955,6.210687
ASA Tirgu Mures ,ASA 2013 Târgu Mureș,Stadionul Trans-Sil,46.549722,24.545833
AZ Alkmaar,AZ Alkmaar,AFAS Stadion,52.6125,4.741667
AZ AlkmaarU21 ,AZ Alkmaar,AFAS Stadion,52.6125,4.741667
Aalesund ,Aalesunds FK,Color Line Stadion,62.46944444,6.1875
Aarhus Gymnastikforening,Aarhus Gymnastikforening,Atletion,56.131944,10.196389
Aberdeen F.C.,Aberdeen F.C.,Pittodrie Stadium,57.15916667,-2.088888888
Adana Demirspor ,Adana Demirspor,Adana 5 Ocak Stadium,36.998889,35.329722
Adanaspor,Adanaspor,Adana 5 Ocak Stadium,36.998889,35.329722
Alanyaspor,Alanyaspor,Alanya Oba Stadium,36.562645,32.079131
Adelaide United Football Club,Adelaide United Football Club,Hindmarsh Stadium,-34.9075,138.568889
Ajax Cape Town F.C.,Ajax Cape Town F.C.,Cape Town Stadium,-33.905556,18.408611
Ajman Club,Ajman Club,Ajman Stadium,25.392215,55.450546
Akademisk Boldklub,Akademisk Boldklub,Gladsaxe Stadium,55.7328,12.4968
Akhisarspor ,Akhisar Belediyespor,Akhisar Stadium,38.92111111,27.81472222
Akhmat Grozny ,Amnat Charoen Town F.C.,Amnat Charoen Province Stadium,15.895419,104.611994
Al Ahed FC,Al Ahed FC,Beirut Municipal Stadium,33.87405,35.49839444
Al-Raed FC,Al-Raed FC,King Abdullah Sport City Stadium,26.3789,43.9478
FC Ashdod ,F.C. Ashdod,Yud-Alef Stadium,31.8103,34.6483
FC Bayern Munich,FC Bayern Munich,Allianz Arena,48.218775,11.62475278
FC Empoli ,Empoli F.C.,Stadio Carlo Castellani,43.726389,10.955
FC Le Mans ,Le Mans U.C. 72,MMArena,47.95909444,0.223372222
FC Vaslui ,AFC Atletico Vaslui,Stadionul Municipal,46.6335,27.733319
Mantova FC ,Mantova 1911 S.S.D.,Stadio Danilo Martelli,45.146111,10.794167
Al Ahli SC,Al Ahli SC,Khalifa International Stadium,25.26361111,51.44805556
Al-Ahli SC,Al-Ahli SC,Saida International Stadium,33.58559722,35.38454444
Al Ahly SC,Al Ahly SC,Cairo International Stadium,30.069111,31.312333
Al-Shahaniya Sports Club,Al-Shahaniya Sports Club,Ahmed bin Ali Stadium,25.330538,51.341279
Al Ain FC,Al Ain FC,Hazza bin Zayed Stadium,24.2456,55.7166
Al Ansar FC,Al Ansar FC,Beirut Municipal Stadium,33.87405,35.49839444
Al-Ansar,Al-Ansar,Prince Mohammed bin Abdul Aziz Stadium,18.223043,42.490069
Al Arabi ,Al-Arabi,Department of Education Stadium (Unaizah),26.088333,44.051667
Al Ittihad Alexandria Club,Al Ittihad Alexandria Club,Alexandria Stadium,31.1971,29.9132
Al Ittihad Alexandria Club ,Al Ittihad Alexandria Club,Alexandria Stadium,31.1971,29.9132
Al Kharitiyat ,Al Kharaitiyat SC,Al-Khawr Stadium,25.679406,51.492631
Al-Fateh SC,Al-Fateh SC,Prince Abdullah bin Jalawi Stadium,25.305833,49.612778
Al-Nejmeh ,Nejmeh SC,Al Manara Stadium,33.894444,35.469444
Al-Riffa SC ,Riffa S.C.,Bahrain National Stadium,26.153594,50.543664
Ittihad El-Shorta,Ittihad El-Shorta,Arab Contractors Stadium,30.0512,31.297
Al Jazira Club,Al Jazira Club,Mohammed Bin Zayed Stadium,24.452764,54.392019
Al Markhiya ,Al-Markhiya Sports Club,Al-Markhiya Stadium,25.33225,51.494278
Al Nasr SC,Al Nasr SC,Al-Maktoum Stadium,25.24,55.31305556
Al-Nasr ,Al-Nasr S.C.S.C.,Al-Saada Stadium,17.082711,54.143789
Al Qadisiyah ,Al-Qadisiyah FC,Prince Saud bin Jalawi Stadium,26.3699,50.2052
Al Sadd Sports Club,Al Sadd Sports Club,Jassim Bin Hamad Stadium,25.267358,51.484251
Al Shabab FC,Al Shabab FC,King Fahd International Stadium,24.788206,46.839236
Al-Shabab ,Al-Shabab SC,Al-Ahmadi Stadium,29.09111111,48.07833333
Al-Shabab SC,Al-Shabab SC,Baghdad Stadium,-18.91628,29.825019
Al Wasl FC,Al Wasl FC,Za'abeel Stadium,25.2189,55.31714722
Al-Ahed ,Al Ahed FC,Beirut Municipal Stadium,33.87405,35.49839444
Al-Feiha ,Al-Feiha FC,Prince Salman Bin Abdulaziz Sport City Stadium,25.886929,45.368021
Al-Nassr,Al-Nassr,King Fahd International Stadium,24.788206,46.839236
Al-Ahli Saudi FC الطحالب,Al-Ahli Saudi FC الطحالب,Prince Abdullah al-Faisal Stadium,21.446608,39.251693
Al-Arabi SC,Al-Arabi SC,Grand Hamad Stadium,25.258708,51.520509
Al-Batin ,Al-Batin,Al-Batin Club Stadium,28.44940278,46.07523333
Al-Duhail SC,Al-Duhail SC,Lekhwiya Sports Stadium,25.372711,51.469267
Al-Faisaly FC,Al-Faisaly FC,Amman International Stadium,31.985,35.903
Al-Faisaly FC,Al-Faisaly FC,Prince Salman Bin Abdulaziz Sport City Stadium,25.886929,45.368021
Al-Fujairah FC,Al-Fujairah FC,Fujairah Club Stadium,25.13012222,56.34348056
Dibba Fujairah ,Al-Fujairah FC,Fujairah Club Stadium,25.13012222,56.34348056
Al-Gharafa Sports Club,Al-Gharafa Sports Club,Thani bin Jassim Stadium,25.34474,51.440562
Al-Hilal SC,Al-Hilal SC,Stade Port Sudan,19.61778889,37.2119
Al-Jaish SC,El Jaish SC,Qatar SC Stadium,25.317155,51.512366
Al-Khor Sports Club,Al-Khor Sports Club,Al-Khawr Stadium,25.679406,51.492631
Khor Fakkan ,Al-Khor Sports Club,Al-Khawr Stadium,25.679406,51.492631
Al-Masry Club,Al-Masry Club,Port Said Stadium,31.271111,32.291389
Al-Qadsia SC ,Qadsia SC,Mohammed Al-Hamad Stadium,29.34,48.03027778
Al-Rayyan S.C.,Al-Rayyan S.C.,Ahmed bin Ali Stadium,25.330538,51.341279
Al-Sailiya SC,Al-Salmiya SC,Thamir Stadium,29.34083333,48.08833333
Al-Taawon FC,Al-Taawon FC,King Abdullah Sport City Stadium,26.3789,43.9478
Al-Wahda SC,Al-Wahda SC Damascus,Abbasiyyin Stadium,33.52833333,36.29833333
Al-Wahda SCFC ,Al-Wahda S.C.C.,Al Nahyan Stadium,24.46939722,54.37525278
Al-Wakrah Sports Club,Al-Wakrah Sports Club,Al Janoub Stadium,25.180294,51.596522
Alavés ,Deportivo Alavés,Mendizorrotza Stadium,42.837111,-2.688044
Albacete ,Albacete Balompié,Estadio Carlos Belmonte,38.981117,-1.852142
Albirex Niigata ,Albirex Niigata,Tohoku Electric Power Big Swan Stadium,37.882614,139.059169
Aldosivi,Aldosivi,Estadio José María Minella,-38.017944,-57.582333
Alessandria ,U.S. Alessandria Calcio 1912,Stadio Giuseppe Moccagatta,44.9203,8.616580555
Altay SK ,Altay S.K.,İzmir Alsancak Stadium,38.437289,27.150889
SK Tavriya ,SC Tavriya Simferopol,Lokomotiv Republican Sports Complex,44.943611,34.089722
Amica Wronki ,Amicale F.C.,Korman Stadium,-17.7339,168.337
NEC Nijmegen ,N.E.C.,Stadion de Goffert,51.8225,5.836667
Amiens AC,Amiens AC,Stade Jean-Bouin,48.84332,2.252936
Amkar Perm ,FC Amkar Perm,Zvezda,57.990694,56.244636
Ankaragücü Sports Club (football branch) ,Fútbol Club Motagua,Estadio Tiburcio Carías Andino beach,14.098403,-87.203978
Without Club ,Fútbol Club Motagua,Estadio Tiburcio Carías Andino beach,14.098403,-87.203978
Anorthosis ,Anorthosis Famagusta FC,Antonis Papadopoulos Stadium,34.937422,33.620922
Antofagasta ,Deportes Temuco,Estadio Regional de Antofagasta,-23.67013889,-70.40458333
Antalyaspor,Antalyaspor,Akdeniz University Stadium,36.893743,30.64684
Apol. Limassol ,AEL Limassol FC,Tsirio Stadium,34.700914,33.022975
Arges Pitesti ,FC Argeș,Stadionul Nicolae Dobrin,44.846675,24.866422
Aris Saloniki ,Aris Thessaloniki F.C.,Kleanthis Vikelidis Stadium,40.600069,22.9695
Arka Gdynia,Arka Gdynia,Stadion GOSiR,54.493136,18.531214
Arm. Bielefeld ,Arminia Bielefeld,Bielefelder Alm,52.031389,8.516944
Arsenal,Arsenal F.C.,Emirates Stadium,51.555,-0.108611111
Arsenal FC ,Arsenal F.C.,Emirates Stadium,51.555,-0.108611111
Ascoli ,Ascoli Calcio 1898 F.C.,Stadio Cino e Lillo Del Duca,42.861111,13.594167
Associazione Calcio Milan ,Associazione Calcio Milan,San Siro Stadium,45.47808,9.124
Novara Calcio,Novara Calcio,Stadio Silvio Piola (Novara),45.435833,8.595833
Associazione Sportiva Livorno Calcio ,Associazione Sportiva Livorno Calcio,Stadio Armando Picchi,43.526667,10.314167
Associação Académica de Coimbra – O.A.F.,Associação Académica de Coimbra – O.A.F.,Estádio Cidade de Coimbra,40.20333333,-8.407777777
Juniors OÖ ,Associação Académica de Coimbra – O.A.F.,Estádio Cidade de Coimbra,40.20333333,-8.407777777
Associação Atlética Ponte Preta,Associação Atlética Ponte Preta,Estádio Moisés Lucarelli,-22.913611,-47.051389
Associação Chapecoense de Futebol,Associação Chapecoense de Futebol,Arena Condá,-27.1041,-52.607
Chapecoense ,Associação Chapecoense de Futebol,Arena Condá,-27.1041,-52.607
Associação Portuguesa de Desportos,Associação Portuguesa de Desportos,Estádio do Canindé,-23.520556,-46.618333
Aston Villa F.C. ,Aston Villa F.C.,Villa Park,52.50916667,-1.884722222
Astra Giurgiu ,FC Astra Giurgiu,Stadionul Marin Anastasovici,43.896111,25.981389
