Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Apr 9, 2007",Renathino,26,Left Midfield,Brazil,"
Rio Branco-MG ", Brazil		,"
Uberaba ",,300 K €,?
"Apr 19, 2007",Guillermo Barros Schelotto,33,Centre-Forward,Argentina,"
Boca Juniors ", Torneo Final ,"
Columbus Crew ",,"3,00 mil. €",?
"Apr 29, 2007",Fabien Barthez,35,Goalkeeper,France,"
FC Nantes ", Ligue 1 ,"
Retired ",,"1,00 mil. €",-
"Apr 30, 2007",Damir Ibric,23,Centre-Forward,Bosnia-Herzegovina,"
Kocaelispor ", 1.Lig ,"
QD Jonoon ",,100 K €,?
"May 1, 2007",Everaldo,32,Centre-Back,Brazil,"
Marília ", Brazil		,"
Criciúma EC ",,200 K €,Free transfer
"May 1, 2007",Jorginho Paulista,27,Left-Back,Brazil,"
UNAM Pumas ", Liga MX Clausura ,"
Paulista FC ",,"3,00 mil. €",Free transfer
"May 1, 2007",Juninho Paulista,34,Attacking Midfield,Brazil,"
Flamengo ", Série A ,"
Sydney FC ",,"4,50 mil. €",Free transfer
"May 1, 2007",Malik Buari,23,Right Midfield,Ghana,"
Woking FC ", England		,"
NZ Knights FC ",,100 K €,Free transfer
"May 1, 2007",Blaise Kouassi,32,Centre-Back,Cote d'Ivoire,"
Troyes ", Ligue 1 ,"
Al Rayyan ",,"1,50 mil. €",Free transfer
"May 1, 2007",Gavin Beith,25,Central Midfield,Scotland,"
Arbroath ", Scotland		,"
Forfar Athletic ",,50 K €,Free transfer
"May 1, 2007",Túlio Maravilha,37,Centre-Forward,Brazil,"
Unknown ",,"
Vila Nova FC ",,300 K €,Free transfer
"May 1, 2007",Stuart Balmer,37,Right-Back,Scotland,"
Hamilton Acad. ", Championship ,"
St. Mirren ",,75 K €,Free transfer
"May 1, 2007",Danny Cullip,30,Centre-Back,England,"
Nottm Forest ", League One ,"
QPR ",,450 K €,Free transfer
"May 1, 2007",Renato Silva,23,Centre-Back,Brazil,"
Fluminense ", Série A ,"
Botafogo ",,300 K €,Free transfer
"May 1, 2007",Oladipupo Martins,24,Attacking Midfield,Nigeria,"
Teleoptik ", Serbia		,"
NEPA Lagos ",,200 K €,Free transfer
"May 1, 2007",Clêisson,35,Attacking Midfield,Brazil,"
Santa Cruz ", Brazil		,"
S.E.R. Caxias do Sul (RS) ",,300 K €,Free transfer
"May 1, 2007",Marquinho,25,Attacking Midfield,Brazil,"
Atlético-MG ", Série A ,"
Tombense ",,300 K €,?
"May 1, 2007",Miodrag Andjelkovic,29,Centre-Forward,Serbia,"
OFK Beograd ", Super liga Srbije ,"
ZJ Yiteng ",,400 K €,?
"May 1, 2007",James Robinson,24,Forward,England,"
Melbourne ", A-League ,"
Marconi Stallions ",,50 K €,?
