Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Aug 3, 2011",David Goodwillie,22,Centre-Forward,Scotland,"
Dundee United ", Premiership ,"
Blackburn ",,"2,50 mil. €","3,40 mil. €"
"Aug 3, 2011",Leroy Lita,26,Centre-Forward,England,"
Middlesbrough ", Championship ,"
Swansea ",,"1,25 mil. €","2,00 mil. €"
"Aug 3, 2011",Mauricio Pereyra,21,Attacking Midfield,Uruguay,"
Nacional ", Primera División ,"
Lanús ",,600 K €,"1,00 mil. €"
"Aug 3, 2011",Aleksandar Ignjovski,20,Defensive Midfield,Serbia,"
OFK Beograd ", Super liga Srbije ,"
Werder Bremen ",,"2,25 mil. €",500 K €
"Aug 3, 2011",Ettore Marchi,25,Centre-Forward,Italy,"
Triestina ", Serie C - B ,"
Sassuolo ",,300 K €,130 K €
"Aug 3, 2011",Bozidar Radosevic,22,Goalkeeper,Croatia,"
Hajduk Split ", 1.HNL ,"
B. Podgorica ",,450 K €,120 K €
"Aug 3, 2011",Andrés Már Jóhannesson,22,Right-Back,Iceland,"
Fylkir ", Pepsi Max deild ,"
Haugesund ",,200 K €,100 K €
"Aug 3, 2011",Ben Binyamin,25,Defensive Midfield,Israel,"
Hapoel Acre ", Ligat ha'Al ,"
Maccabi Netanya ",,400 K €,35 K €
"Aug 3, 2011",Ivica Banovic,31,Defensive Midfield,Croatia,"
SC Freiburg ", Bundesliga ,"
Energie Cottbus ",,700 K €,Free transfer
"Aug 3, 2011",Steed Malbranque,31,Central Midfield,France,"
Sunderland ", Premier League ,"
Saint-Étienne ",,"6,00 mil. €",Free transfer
"Aug 3, 2011",Ricardo Vaz Tê,24,Right Winger,Portugal,"
Hibernian FC ", Premiership ,"
Barnsley FC ",,400 K €,Free transfer
"Aug 3, 2011",Tomas Durica,32,Defensive Midfield,Slovakia,"
Kotricna Luka ", Slovakia		,"
Zilina B ",,150 K €,Free transfer
"Aug 3, 2011",Ádám Komlósi,33,Centre-Back,Hungary,"
Debrecen ", NB I. ,"
Kazincbarcika ",,300 K €,Free transfer
"Aug 3, 2011",Marcin Bojarski,33,Right Midfield,Poland,"
P. Niepolomice ", Poland		,"
Orzel Balin ",,250 K €,Free transfer
"Aug 3, 2011",Alcides Píccoli,32,Centre-Back,Argentina,"
Gimnasia (J) ", Primera Nacional ,"
Tiro Federal ",,400 K €,Free transfer
